WIPRO,ALBK,AMBUJACEM,ANDHRABANK,ASHOKLEY,ASIANPAINT,BHARATFORG,BHEL,CAIRN,CANBK,CENTURYTEX,COLPAL,DLF,DRREDDY,GMRINFRA,HCLTECH,HDFCBANK,HINDALCO,ICICIBANK,IOB,IGL,INDUSINDBK,KTKBANK,LUPIN,MRF,M&M,MCLEODRUSS,ONGC,ORIENTBANK,PNB,RECLTD,SRTRANSFIN,SAIL,SUNPHARMA,SYNDIBANK,TATACHEM,TCS,TITAN,UCOBANK,ULTRACEMCO,UNITECH,MCDOWELL-N,VOLTAS,YESBANK
0.643644707,0.758706412,0.534447544,0.647647587,0.618554178,0.614490171,0.693498058,-0.050449117,0.681554098,0.703627357,-0.055213147,0.52689771,-0.293945293,0.742415842,-0.494319286,0.590640633,0.571488301,0.607558994,0.574691399,0.525059422,1,0.627035751,0.121274965,0.655867977,0.453795758,0.739119311,0.481322057,0.41224904,0.630834307,0.708578563,0.380873468,0.733023699,-0.097591107,0.520783919,0.646158472,0.768704275,0.711633615,0.677424523,0.642255197,0.360087507,-0.355789342,0.084161606,0.281936739,0.565251413
0.645129758,0.631015695,0.946521351,0.522534754,0.576974789,0.977882703,0.646839598,-0.467049167,0.825387688,0.621151429,0.013188405,0.963892043,-0.381186443,0.944596888,-0.725601089,0.947488622,0.982417164,0.364700184,0.74088448,0.197174251,0.627035751,1,0.271803225,0.976294866,0.937676321,0.936916752,0.855356042,0.412433004,0.535288397,0.451262347,0.391738468,0.77871142,-0.362023757,0.954621198,0.798707377,0.736125936,0.946920573,0.964519735,0.599432172,0.910435255,-0.501431449,0.328537723,0.099431686,0.950335353
0.441115723,0.534597151,0.181110371,0.649809677,0.628206847,0.202865241,0.450215453,0.521834741,0.365200269,0.540145882,0.779932068,0.194198256,0.556990337,0.307646315,0.342805984,0.330333489,0.293993916,0.506757703,0.679693353,0.530920103,0.121274965,0.271803225,1,0.188059971,0.369044235,0.376344997,0.346736765,0.719524259,0.711626261,0.587037274,0.805326948,0.553350013,0.536609859,0.083753188,0.621632061,0.535819002,0.150421215,0.143058517,0.580683312,0.199207671,0.572421104,0.841180437,0.731541915,0.468766667
0.654554918,0.619652602,0.927023114,0.511134434,0.578591766,0.97547225,0.674939318,-0.471073883,0.824063652,0.602711661,-0.026417018,0.94879448,-0.424247534,0.95479346,-0.7448596,0.935871735,0.962496301,0.37763504,0.706016934,0.181580709,0.655867977,0.976294866,0.188059971,1,0.915923106,0.934371931,0.850753322,0.390959165,0.50527725,0.445479452,0.366865746,0.762842341,-0.363331039,0.951763341,0.747106995,0.730743619,0.96325854,0.955543471,0.586947692,0.890717116,-0.537807333,0.254722955,0.106059913,0.912792488
0.655313871,0.576841334,0.878916248,0.512688915,0.630744302,0.920333952,0.637702976,-0.377428375,0.800143401,0.544718505,0.205134351,0.922874251,-0.199540671,0.879130743,-0.558979913,0.904368207,0.934525802,0.315301942,0.722980836,0.143887814,0.453795758,0.937676321,0.369044235,0.915923106,1,0.856423511,0.876357546,0.50170944,0.515159649,0.419018467,0.488491277,0.708872285,-0.220219983,0.877547205,0.742755158,0.720407115,0.855521134,0.844762973,0.542729678,0.904354096,-0.304812643,0.39889277,0.179863115,0.957146484
0.742985712,0.720668835,0.886431668,0.641107851,0.688884729,0.917196518,0.750983886,-0.251087944,0.849460893,0.721706391,0.1666987,0.890498103,-0.220895923,0.956209384,-0.592298463,0.929933368,0.930572312,0.530742351,0.829328399,0.359395387,0.739119311,0.936916752,0.376344997,0.934371931,0.856423511,1,0.85992414,0.559430776,0.656929587,0.606052466,0.520479755,0.857722443,-0.17189717,0.860483096,0.848114625,0.824530133,0.931435251,0.903385674,0.67478237,0.825575611,-0.349079344,0.433036484,0.285446905,0.923993202
0.721443607,0.578004397,0.79542853,0.531733827,0.594660188,0.860557927,0.679422195,-0.21875551,0.778712158,0.543711106,0.320176688,0.842697272,-0.084438993,0.833087962,-0.463805878,0.919282887,0.883517149,0.430612578,0.792440436,0.275386961,0.481322057,0.855356042,0.346736765,0.850753322,0.876357546,0.85992414,1,0.529432774,0.530777148,0.476463014,0.478031886,0.724055419,-0.062038208,0.791571912,0.739311952,0.735522931,0.844301537,0.779352931,0.514492718,0.832442733,-0.227826639,0.463468014,0.271187388,0.908760377
0.730335784,0.700046615,0.328240312,0.779131222,0.788855984,0.359685543,0.770270432,0.469293342,0.656526703,0.681774328,0.705669189,0.30988167,0.538558292,0.54139895,0.222265385,0.488870413,0.424803568,0.68309045,0.775104883,0.657275273,0.41224904,0.412433004,0.719524259,0.390959165,0.50170944,0.559430776,0.529432774,1,0.727047457,0.766377681,0.843764696,0.680438907,0.513906038,0.220209248,0.677817998,0.762453865,0.422409182,0.275808532,0.694614642,0.285498076,0.451877487,0.547889099,0.784926631,0.578387486
0.762903669,0.928340497,0.387463494,0.940718705,0.888051887,0.466032703,0.820784451,0.411157004,0.690707941,0.912458539,0.525489396,0.364528597,0.203514743,0.65936478,-0.032023208,0.563134706,0.500264133,0.851538047,0.848184842,0.793166673,0.630834307,0.535288397,0.711626261,0.50527725,0.515159649,0.656929587,0.530777148,0.727047457,1,0.929312355,0.889716927,0.896304192,0.43404719,0.312538504,0.848012619,0.867756094,0.531634134,0.456691924,0.917740874,0.300578731,0.204811968,0.660084009,0.794523378,0.647420927
0.847345208,0.9485509,0.282142114,0.953047439,0.892187934,0.378710896,0.879524298,0.499403837,0.718569225,0.918449957,0.508355232,0.268540475,0.247591112,0.643731246,0.040717873,0.502803531,0.404907486,0.930017575,0.805631555,0.875597019,0.708578563,0.451262347,0.587037274,0.445479452,0.419018467,0.606052466,0.476463014,0.766377681,0.929312355,1,0.846353023,0.849500758,0.512250297,0.220165952,0.772848226,0.893342116,0.516169521,0.380089386,0.889246316,0.174444957,0.228429834,0.473814903,0.826997068,0.559090093
0.751819281,0.796714845,0.268058501,0.859163392,0.906180071,0.31072644,0.775622836,0.557443698,0.630940631,0.778875434,0.753928001,0.246998417,0.45808042,0.532504052,0.230686839,0.453720611,0.374151618,0.78139404,0.77220657,0.681314171,0.380873468,0.391738468,0.805326948,0.366865746,0.488491277,0.520479755,0.478031886,0.843764696,0.889716927,0.846353023,1,0.759829071,0.630936613,0.160117315,0.705441569,0.777060537,0.374387007,0.23960237,0.804997891,0.245455423,0.475863301,0.712431742,0.896427299,0.572982936
0.825796587,0.929381955,0.651884139,0.87654207,0.831928974,0.724619849,0.866762662,0.099062173,0.843787521,0.919771465,0.317320301,0.639362973,-0.059848968,0.869889229,-0.345058949,0.80247822,0.74139352,0.801893218,0.905615657,0.668651141,0.733023699,0.77871142,0.553350013,0.762842341,0.708872285,0.857722443,0.724055419,0.680438907,0.896304192,0.849500758,0.759829071,1,0.147387383,0.612474211,0.914386689,0.909468198,0.794000595,0.722515582,0.91483126,0.560395325,-0.112089444,0.560950092,0.602260009,0.81747456
0.350479498,0.2942797,-0.454073997,0.438909392,0.438766622,-0.415536545,0.292745373,0.944963333,0.028624377,0.284097031,0.813242672,-0.473301368,0.776097336,-0.168681837,0.805575774,-0.214107249,-0.355261459,0.557256484,0.25471254,0.538414222,-0.097591107,-0.362023757,0.536609859,-0.363331039,-0.220219983,-0.17189717,-0.062038208,0.513906038,0.43404719,0.512250297,0.630936613,0.147387383,1,-0.555723933,0.07470617,0.239397562,-0.305805585,-0.493299087,0.272932073,-0.412076513,0.850136472,0.448539989,0.809222471,-0.130249007
0.472298095,0.426798183,0.957969116,0.293539628,0.353571712,0.960238519,0.473559353,-0.659523663,0.708134462,0.427209508,-0.169008153,0.96585849,-0.514883362,0.859996559,-0.825320289,0.894636256,0.957445088,0.164804273,0.585485015,-0.011036314,0.520783919,0.954621198,0.083753188,0.951763341,0.877547205,0.860483096,0.791571912,0.220209248,0.312538504,0.220165952,0.160117315,0.612474211,-0.555723933,1,0.646910082,0.558233892,0.912317605,0.954017152,0.407294785,0.939245565,-0.651799199,0.185470969,-0.128572852,0.857696006
0.750731727,0.872851947,0.686016563,0.839120334,0.755896036,0.731198807,0.800224702,0.03364017,0.795140607,0.887148693,0.355906139,0.675575219,0.027518949,0.832862504,-0.330638219,0.805873424,0.773658724,0.697433253,0.924453693,0.666689997,0.646158472,0.798707377,0.621632061,0.747106995,0.742755158,0.848114625,0.739311952,0.677817998,0.848012619,0.772848226,0.705441569,0.914386689,0.07470617,0.646910082,1,0.870455661,0.766104897,0.746410111,0.86597676,0.613942091,-0.076315293,0.574850936,0.533236431,0.856965322
0.908955316,0.926809914,0.602959813,0.88492974,0.888679977,0.690636425,0.918240621,0.172629189,0.88222185,0.880926014,0.423408136,0.607504303,0.073650358,0.854485325,-0.247006864,0.775964628,0.706911991,0.813111723,0.887049457,0.699556406,0.768704275,0.736125936,0.535819002,0.730743619,0.720407115,0.824530133,0.735522931,0.762453865,0.867756094,0.893342116,0.777060537,0.909468198,0.239397562,0.558233892,0.870455661,1,0.774470185,0.665133689,0.852853247,0.519783474,0.000701317,0.47330813,0.641546074,0.810575476
